cell,label,n,n_distinct_triples,n_distinct_images,accuracy,ci_low,ci_high,precision,recall,f1,fallback_rate,predicted_yes,gold_yes,tp,fp,fn,tn,free_params_fitted_on_eval,notes
A,Whole image + threshold (baseline),3858,661,696,0.5829445308449974,0.5729054692387657,0.5929005793720601,0.5769230769230769,0.6220839813374806,0.5986530306809679,0.0,2080,1929,1200,880,729,1049,1,"fit-on-eval, accuracy-maximising tau"
B,Whole image + forced choice,3858,661,696,0.7687921202695698,0.7492135833710329,0.7884228639580914,0.7687921202695698,0.7687921202695698,0.7687921202695698,0.0,1929,1929,1483,446,446,1483,0,no free parameter
C,Cropped region + threshold,3858,661,696,0.5979782270606532,0.5880811001371324,0.6078839529216907,0.6377551020408163,0.4536029030585796,0.5301423810966375,0.033696215655780196,1372,1929,875,497,1054,1432,1,"fit-on-eval, accuracy-maximising tau"
D,Cropped region + forced choice (proposed),3858,661,696,0.8061171591498185,0.787924915793638,0.823560696138491,0.8061171591498185,0.8061171591498185,0.8061171591498185,0.033696215655780196,1929,1929,1555,374,374,1555,0,no free parameter
Ap,"A' whole image + threshold, base-rate matched (D-020 control)",3858,661,696,0.5769828926905132,0.5668103160305202,0.5873544738329564,0.5769828926905132,0.5769828926905132,0.5769828926905132,0.0,1929,1929,1113,816,816,1113,1,"fit-on-eval, base-rate-matched tau (control, not part of the 2x2)"
Cp,"C' cropped region + threshold, base-rate matched (D-020 control)",3858,661,696,0.5904613789528252,0.5807811103890829,0.6,0.5904613789528252,0.5904613789528252,0.5904613789528252,0.033696215655780196,1929,1929,1139,790,790,1139,1,"fit-on-eval, base-rate-matched tau (control, not part of the 2x2)"
position-only,Position-only baseline (BENCHMARK ARTIFACT -- exploits AMBER pair id ordering; sees no image),3858,661,696,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1929,1929,1929,0,0,1929,0,BENCHMARK ARTIFACT: exploits AMBER pair id ordering; sees no image
